PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,Title,TravelClass
1,0,1,Passenger_1,male,32.4,4,3,TKT94101,101.97,E46,Q,8,Miss,Economy
2,1,3,Passenger_2,female,,3,1,TKT62248,155.22,,C,5,Miss,First
3,1,3,Passenger_3,female,15.9,1,3,TKT65798,202.37,,Q,5,Miss,Business
4,0,1,Passenger_4,male,,0,2,TKT54116,78.42,,C,3,Master,Business
5,0,3,Passenger_5,female,48.4,1,2,TKT85318,240.72,nan,S,4,Mrs,First
6,0,3,Passenger_6,female,28.3,1,0,TKT97902,136.23,nan,Q,2,Mrs,Economy
7,0,3,Passenger_7,male,1.0,0,2,TKT38557,156.48,nan,Q,3,Master,Economy
8,1,2,Passenger_8,female,21.5,0,1,TKT81334,171.76,,C,2,Mrs,Business
9,0,2,Passenger_9,male,48.2,4,2,TKT85163,168.35,,C,7,Mrs,Economy
10,1,3,Passenger_10,male,29.7,4,0,TKT88002,130.19,,C,5,Master,First
11,0,1,Passenger_11,female,16.0,0,3,TKT52614,110.05,,Q,4,Mr,First
12,1,1,Passenger_12,male,22.9,2,3,TKT22720,18.18,,S,6,Mrs,Business
13,1,3,Passenger_13,male,41.8,4,2,TKT67608,10.41,nan,S,7,Master,Business
14,0,3,Passenger_14,male,37.7,2,1,TKT82095,92.7,D56,C,4,Miss,Business
15,0,2,Passenger_15,male,26.7,0,0,TKT94694,86.75,nan,S,1,Mr,Economy
16,0,2,Passenger_16,male,24.9,4,1,TKT97593,99.99,,C,6,Miss,First
17,0,3,Passenger_17,male,24.5,1,0,TKT45892,38.9,,S,2,Mrs,First
18,0,2,Passenger_18,male,17.1,0,2,TKT87242,185.85,,Q,3,Mr,First
19,0,1,Passenger_19,male,52.6,3,0,TKT87606,214.96,C85,C,4,Master,Business
20,0,1,Passenger_20,female,25.5,2,0,TKT10924,234.99,C123,S,3,Mrs,First
21,0,3,Passenger_21,female,47.0,0,2,TKT61322,125.63,,Q,3,Master,Economy
22,0,3,Passenger_22,female,51.3,0,1,TKT36478,176.71,,S,2,Mr,Economy
23,0,1,Passenger_23,male,,4,2,TKT81042,214.61,,Q,7,Miss,First
24,0,1,Passenger_24,male,24.0,4,0,TKT56418,107.48,,Q,5,Mrs,Business
25,0,1,Passenger_25,female,35.7,4,2,TKT72217,80.81,E46,S,7,Mrs,First
26,1,3,Passenger_26,female,29.7,3,0,TKT90846,234.5,C123,S,4,Master,Economy
27,0,1,Passenger_27,female,17.3,4,2,TKT83762,131.34,C123,Q,7,Mr,Economy
28,0,1,Passenger_28,male,34.5,0,3,TKT21781,126.83,C123,,4,Master,Economy
29,0,3,Passenger_29,female,13.5,4,3,TKT15515,48.71,D56,Q,8,Mr,First
30,0,1,Passenger_30,female,,1,2,TKT46133,31.5,B28,C,4,Mrs,Economy
31,0,3,Passenger_31,male,23.5,4,1,TKT92508,211.32,,Q,6,Mr,Business
32,0,1,Passenger_32,female,32.8,3,0,TKT86946,155.46,nan,C,4,Mrs,First
33,0,1,Passenger_33,male,34.0,1,3,TKT95058,84.83,,,5,Mr,First
34,1,2,Passenger_34,male,26.4,0,1,TKT19095,51.98,nan,C,2,Miss,Economy
35,1,3,Passenger_35,male,38.2,0,0,TKT98583,141.1,D56,Q,1,Mr,Economy
36,1,3,Passenger_36,female,,2,3,TKT30470,148.06,,Q,6,Miss,Business
37,0,3,Passenger_37,female,42.2,1,3,TKT53129,55.71,nan,Q,5,Mr,First
38,0,2,Passenger_38,male,11.2,2,2,TKT18531,213.59,,S,5,Mr,Economy
39,1,3,Passenger_39,female,31.8,1,0,TKT47038,25.64,,S,2,Master,Business
40,0,1,Passenger_40,female,57.1,1,1,TKT97939,92.24,,Q,3,Master,Economy
